Site,Installed ,WellheadD x H- in,Raingage,LoggerType,LoggerSN,LoggerOS,PakBusAddr,RadioSN,Repeater,NetworkID,FreqKey,TransmitPow,LowPowerMode,RxSubnetID,TxSubnetID,RadioID,Antenna,AntennaHeight- ft,AntennaDirection,Battery- V,PanelTemp- F,WaterLevel- ft
Base,Y,N/A,N,NA,NA,NA,4090,2573,master,1991,1,10,2,15,0,1,yagi,,Tower,,,
Tower,Y,N/A,N,CR300,NA,10.03,999,3471,yes,1991,1,10,2,15,15,999,omni- 6dBd,,Omni,,,
PAC,Y,N/A,N,CR300,11071,10.03,2,2572,yes,1991,1,10,2,15,15,2,yagi,,Tower,,,
C-2737,Y,,N,CR300,18011,10.03,3,2574,yes,1991,1,10,2,15,15,3,omni,,Omni,,,
AEC-7R,Y,14.25 x ?,N,CR300,18003,10.02,8,3309,no,1991,1,10,2,15,15,8,yagi- 6dBd,,Tower,,,
CB-1,N,24.5,,,,,,,,,,,,,,,,,,,,
DOE-2,N,11.75 x <12,,,,,,,,,,,,,,,,,,,,
H-2b1,N,8.5 x 12.25,,,,,,,,,,,,,,,,,,,,
H-3b1,N,7.25 x 19.25,,,,,,,,,,,,,,,,,,,,
H-4bR,Y,,N,CR300,18010,9.02,11,3368,no,1991,1,7,2,15,15,11,yagi- 9dBd,,C2737,,,
H-4c,N,8.5 x 11,,,,,,,,,,,,,,,,,,,,
H-5bR,N,14.125,,,,,,,,,,,,,,,,,,,,
H-6bR,Y,13,N,CR300,17973,10.04,33,3339,no,1991,1,10,2,15,15,33,yagi- 6dBd,,Tower,,,
H-6c,N,8.375 x 10.5,,,,,,,,,,,,,,,,,,,,
H-8a,N,8.5 x <12,,,,,,,,,,,,,,,,,,,,
H-9bR,Y,,N,CR300,11072,10.02,4,?,no,1991,1,10,2,15,15,4,yagi- 9dBd,,Tower,,,
H-9c,N,8.5 x <12,,,,,,,,,,,,,,,,,,,,
H-10a,N,8.5 x 7.5,,,,,,,,,,,,,,,,,,,,
H-10cR,Y,14,N,CR300,18021,10.03,26,3341,no,1991,1,10,2,15,15,26,yagi- 6dBd,15,Tower,,,
H-11b2,N,5.375 x 12,,,,,,,,,,,,,,,,,,,,
H-12 Repeater,Y,6.875,N,CR300,18005,,,3352,Yes,,,,,,,,omni,15,C2737,,,
H-11b4R,Y,13.5,N,CR300,17999,10.04,28,3374,no,1991,1,10,2,15,15,28,,,,,,
H-12R,Y,11,N,CR300,17995,10.03,27,3362,no,1991,1,10,2,15,15,27,yagi- 6dBd,10,Tower,,,
H-14,N,6 x 23.5,,,,,,,,,,,,,,,,,,,,
H-15,Y,13.5,N,CR300,17978,10.04,35,3307,no,1991,1,10,2,15,15,35,whip,10,H-15r,,,
H-15R,Y,12.75,N,CR300,17976,10.04,34,3308,no,1991,1,10,2,15,15,34,yagi- 6dBd,10,Tower,,,
H-16,N,13.5 x 18.5,,,,,,,,,,,,,,,,,,,,
H-18,N,7.875 x 13.125,,,,,,,,,,,,,,,,,,,,
H-19b0,N,20 x 19,,,,,,,,,,,,,,,,,,,,
IMC-461,Y,8.625,N,CR300,17984,10.03,19,3332,no,1991,1,10,2,15,15,19,yagi- 6dBd,,Tower,,,
SNL-1,Y,13.5,N,CR300,18000,10.02,17,3334,no,1991,1,10,2,15,15,17,yagi- 6dBd,,Tower,,,
SNL-2,Y,13.5,N,CR300,17992,10.03,20,3349,no,1991,1,10,2,15,15,20,yagi- 6dBd,,Tower,,,
SNL-3,Y,13.5,N,CR300,18006,10.02,15,3359,no,1991,1,10,2,15,15,15,yagi- 6dBd,,C2737,,,
SNL-5,Y,13.5,N,CR300,17971,9.02,18,3338,no,1991,1,10,2,15,15,18,yagi- 6dBd,,Tower,,,
SNL-6,Y,8.75,N,CR300,18017,10.02,9,3366,no,1991,1,10,2,15,15,9,yagi- 6dBd,,C2737,,,
SNL-8,Y,12.875,N,CR300,17989,10.03,21,3364,no,1991,1,10,2,15,15,21,yagi- 6dBd,,C2737,,,
SNL-9,Y,18,N,CR300,18007,10.03,24,3314,no,1991,1,10,2,15,15,24,yagi- 6dBd,,,,,
SNL-10,Y,,N,CR300,17972,9.02,14,3372,no,1991,1,10,2,15,15,14,yagi- 6dBd,,C2737,,,
SNL-12,Y,,N,CR300,18009,9.02,12,3371,Yes,1991,1,10,2,15,15,12,yagi- 6dBd,,Tower,,,
SNL-13,Y,,N,CR300,17977,9.02,13,3370,no,1991,1,10,2,15,15,13,yagi- 6dBd,,C2737,,,
SNL-14,Y,12.75,N,CR300,17997,10.04,29,3348,no,1991,1,10,2,15,15,29,,,,,,
